STATEFP10,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,PARTFLG10
53,98250,5398250,B5,G6350,S,160966488,118022465,+48.5732761,-123.1150765,N
53,98255,5398255,B5,G6350,S,1349289,0,+48.5221201,-121.9893980,N
53,98284,5398284,B5,G6350,S,731873913,17970539,+48.5465323,-122.1230315,N
53,98292,5398292,B5,G6350,S,192963470,14631046,+48.2167923,-122.3143898,N
53,98201,5398201,B5,G6350,S,19365402,6934494,+48.0063109,-122.2100442,N
53,98272,5398272,B5,G6350,S,283032842,1992027,+47.8485907,-121.8949509,N
53,98203,5398203,B5,G6350,S,27723263,2260897,+47.9455190,-122.2310955,N
53,99217,5399217,B5,G6350,S,132146010,207690,+47.7406960,-117.2615057,N
53,99001,5399001,B5,G6350,S,18401954,0,+47.6364903,-117.5863045,N
53,99021,5399021,B5,G6350,S,217948824,0,+47.8482668,-117.1896119,N
53,99020,5399020,B5,G6350,S,232804,0,+47.5626007,-117.4966014,N
53,99157,5399157,B5,G6350,S,189933972,10620340,+48.8208434,-117.9333737,N
53,98530,5398530,B5,G6350,S,12908941,158630,+46.7905096,-122.8238539,N
53,98225,5398225,B5,G6350,S,32513414,6412818,+48.7540919,-122.5081285,N
53,99176,5399176,B5,G6350,S,98828996,0,+47.0809053,-117.4238896,N
53,99102,5399102,B5,G6350,S,597769,0,+46.7920248,-117.2502535,N
53,98952,5398952,B5,G6350,S,533301571,180286,+46.3562112,-120.7630660,N
53,98951,5398951,B5,G6350,S,389536396,454920,+46.4560276,-120.5136037,N
53,98938,5398938,B5,G6350,S,95672912,0,+46.3882030,-120.0941789,N
53,98929,5398929,B5,G6350,S,2996126,0,+46.8817024,-121.2851473,N
53,99333,5399333,B5,G6350,S,236821657,5970966,+46.6857824,-118.1727165,N
53,99401,5399401,B5,G6350,S,569160578,3393664,+46.0872160,-117.2499750,N
53,99336,5399336,B5,G6350,S,34570311,3599832,+46.2140503,-119.1757278,N
53,99338,5399338,B5,G6350,S,171927259,0,+46.1478606,-119.2734751,N
53,98815,5398815,B5,G6350,S,307735121,896528,+47.4605749,-120.4782827,N
53,98847,5398847,B5,G6350,S,418773216,454327,+47.4198178,-120.6437271,N
53,98381,5398381,B5,G6350,S,174200975,0,+48.2736764,-124.4748580,N
53,98603,5398603,B5,G6350,S,302522143,13528046,+46.0555186,-122.4147568,N
53,98802,5398802,B5,G6350,S,464787144,8115822,+47.4874251,-120.1787272,N
53,98823,5398823,B5,G6350,S,772478178,1247699,+47.3120049,-119.6205178,N
